"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen waarin worden gebezigd krachtswerktuigen, gedreven door stoom, gas, heete lucht, enz.; water of wind",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeente,Nummer der Beroepsklasse ,Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"121878",,"131876",,"14---151875  ---1874",,"16---171873  ---1872",,,,"18---221871  ---1867",,,,"23---241866  ---1865",,,,"25---351864  ---1854",,,,"36---501853  ---1839",,,,"51---601838  ---1829",,,,"61---651828  ---1824",,,,"66---701823---1818",,,,"71endaarboven1818envroeger",,,,"Vanonbekendenleeftijd",,,,"TOTAALDERMANNEN",,"TOTAALDERVROUWEN",,"TOTAALDERMANNENENVROUWEN",,Nummer der Beroepsklasse,Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,,15,id.,D,,,,,,,,,,,2,,,,4,,,,,,,5,,,,1,1,,,2,,,,,,,,1,,,,,,,,,,,,9,7,,,9,7,15,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,16,Loodgieters,A,,,,,,,,,,,1,,,1,3,,,2,4,,,51,8,,,90,5,1,,39,,1,,13,,1,,5,1,,,4,1,,,,,,,205,23,3,,208,23,16,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,17,id.,C,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,17,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,18,id.,D,,4,,9,,25,,98,,,104,,,18,225,,,16,48,,,188,108,,,124,15,,,44,4,,,22,,,,8,,,,1,,,,,,,,421,640,,,421,640,18,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,19,Metselaars,A,,,,,,,,,,,,,,1,5,,,5,5,,,64,14,,,147,7,1,,62,2,1,,39,1,,,30,,,,13,1,1,,,,,,361,35,3,,364,35,19,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,20,id.,B,,,,,,,,,,,,,,,1,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,5,1,20,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,21,id.,C,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,1,,,3,1,21,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,22,id.,D,,,,4,,12,,39,,,59,,,24,219,,,47,72,,,574,121,,,880,63,,,404,18,,,137,2,,,77,4,,,50,,,,,,,,2193,613,,,2193,613,22,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,23,Molenmakers,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,3,,,,3,,23,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,24,id.,D,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,1,,,,2,,,,,,,,,,,,,,,,5,1,,,5,1,24,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,25,Opperlieden,D,,,,,,,,,,,12,,,12,42,,,9,17,,,146,40,,,297,12,,,129,4,,,52,1,,,21,1,,,10,,,,,,,,676,129,,,676,129,25,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,26,Steenkloppers (bikkers),D,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,3,,,1,2,,,,,,2,,,,,1,,,,,,,2,4,6,,8,4,26,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,27,Timmerlieden,A,,,,,,,,,,,1,,,1,19,,,18,26,,,240,58,1,,453,20,2,,168,7,,,58,7,1,,50,2,1,,26,1,,,,,,,1014,141,5,,1019,141,27,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,28,id.,B,,,,,,,,,,,,,,,1,,,,,,,3,,,,3,1,,,2,,,,,,,,,,,,1,,,,,,,,9,2,,,9,2,28,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,29,id.,C,,,,,,,,,,,1,,,,1,,,,,,,7,8,,,9,1,,,2,,,,,,,,1,,,,,,,,,,,,19,11,,,19,11,29,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,30,id.,D,,4,,38,,131,,369,,,329,,,49,1056,,,120,367,,,1851,682,,,2111,141,,,718,29,,,262,6,,,169,7,,,102,3,,,,,,,5382,3162,,,5382,3162,30,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,c,,"Afwerken van huizen, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,31,Behangers,A,,,,,,,,,,,2,,,7,11,,,11,12,,,139,42,,,176,16,3,,98,6,,,34,1,1,,29,1,2,,7,,,,,,,,501,91,6,,507,91,31,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,32,id.,B,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,32,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,33,id.,C,,,,,,,,,,,,,,,,,,,,,,2,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,4,1,,,4,1,33,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,34,id.,D,,4,,6,,49,,186,,,166,,1,8,816,,1,37,68,,1,269,128,,,197,37,,,87,16,,,26,3,,,17,1,,,9,,,,,,,,650,1480,,3,650,1483,34,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,35,Decoratieschilders,A,,,,,,,,,,,,,,,2,,,,5,,,15,4,,,12,4,,,8,1,,,1,,,,1,,,,1,,,,,,,,38,16,,,38,16,35,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,36,id.,D,,,,,,,,6,,,8,,1,,21,,,1,9,,,7,14,,,5,3,,,2,1,,,1,,,,,,,,1,,,,,,,,17,62,,1,17,63,36,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,37,Huisschilders,A,,,,,,,,,,,1,,,7,12,,,8,12,,,195,51,,,266,21,2,,141,9,2,,40,1,2,,46,1,2,,17,,,,,,,,720,108,8,,728,108,37,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,38,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,3,,38,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,39,id.,C,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,,,,1,,,,,,,,,,,,,,,,,,,,3,2,,,3,2,39,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,40,id.,D,,,,22,,43,,175,,,235,,,31,585,,,80,159,,,879,293,,,903,73,,,419,25,,,164,8,,,99,3,,,46,,,,,,,,2621,1621,,,2621,1621,40,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,41,Stukadoors,A,,,,,,,,,,,,,,1,1,,,3,6,,,65,10,,,136,6,,,50,1,1,,22,,,,13,,1,,4,,,,,,,,294,24,2,,296,24,41,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,42,id.,B,,,,,,,,,,,2,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,2,3,42,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,43,id.,D,,,,2,,7,,24,,,39,,,9,140,,,22,47,,,284,100,,,357,40,,,123,9,,,45,2,,,28,,,,11,1,,,,,,,879,411,,,879,411,43,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,d,,Openbare werken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,44,Aannemers,A,,,,,,,,,,,,,,,,,,2,3,,,24,11,,,85,8,,,28,2,,,6,,,,5,,,,1,,,,,,,,151,24,,,151,24,44,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,45,Aardwerkers,D,,,,,,1,,1,,,8,,,6,42,,,17,17,,,208,72,,,322,40,,,134,17,,,37,2,,,23,2,,,10,,,,,,,,757,202,,,757,202,45,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,46,Dijkwerkers,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,46,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,47,Heibazen,C,,,,,,,,,,,,,,,2,,,1,,,,7,,,,5,,,,9,,,,,,,,,,,,,,,,,,,,22,2,,,22,2,47,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,48,Opzichters,C,,,,,,,,,,,1,,,,28,,,1,32,,,73,60,,,115,10,,,50,3,,,23,,1,,8,,1,,5,1,,,,,,,275,135,2,,277,135,48,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,49,Polderwerkers,C,,,,,,,,,,,,,,,,,,,,,,2,1,,,8,2,,,3,,,,,,,,,,,,,,,,,,,,13,3,,,13,3,49,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,50,id.,D,,,,,,,,,,,1,,,,2,,,1,4,,,13,16,,,15,9,,,10,1,,,4,,,,,,,,,,,,,,,,43,33,,,43,33,50,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,51,Steenzetters,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,51,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,52,Steigermakers,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,52,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,53,Straatmakers,D,,,,1,,8,,19,,,28,,,8,69,,,13,9,,,79,18,,,43,3,,,38,,,,15,,,,6,,,,1,,,,,,,,203,155,,,203,155,53,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,III,e,,"Reiniging van bouwwerken, wegen en straten. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,1,Aschkarlieden,D,,,,2,,2,,3,,,4,,,2,3,,,,1,,,16,4,,,33,1,,,8,,,,5,,,,3,,,,1,,,,,,,,68,20,,,68,20,1,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,2,Baggerlieden,C,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,2,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,3,id.,D,,,,,,,,1,,,,,,,3,,,1,1,,,16,2,,,28,1,,,14,2,,,6,,,,1,,,,,,,,,,,,66,10,,,66,10,3,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,4,Glazenwasschers,A,,,,,,,,,,,,,,,1,,,2,2,,,10,2,,,1,,,,1,,,,,,,,,,,,,,,,,,,,14,5,,,14,5,4,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,5,id.,C,,,,,,,,,,,,,,,,,,,,,,3,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,4,2,5,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,6,id.,D,,,,,,1,,,,,1,,,1,5,,,3,4,,,50,19,,,19,2,,,4,,,,1,,,,1,,,,1,,,,,,,,80,32,,,80,32,6,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,7,Openbare reiniging,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,3,,,,3,,7,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,8,id.,C,,,,,,,,,,,,,,,1,,,,,,,3,1,,,13,1,,,16,,,,5,,,,2,,,,1,,,,,,,,40,3,,,40,3,8,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,9,id.,D,,,,1,,3,,13,,,9,,,12,38,,,14,12,,,112,28,,,151,8,1,,79,3,,1,37,,1,,15,1,1,,9,,1,,,,,,429,116,4,1,433,117,9,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,10,Schoorsteenvegers,A,,,,,,,,1,,,,,,,2,,,4,1,,,24,6,,,36,1,,,14,2,2,,4,,2,,4,,,,,,,,,,,,86,13,4,,90,13,10,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,11,id.,D,,,,3,,4,,15,,,18,,,7,40,,,2,12,,,19,23,,,9,1,,,1,,,,1,,,,,,,,,,,,,,,,39,116,,,39,116,11,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,12,Straatvegers,D,,,,,,,,7,,,13,,,2,18,,,5,4,,,33,6,,,41,6,,,36,3,,,17,2,,,6,1,,,1,,,,,,,,141,60,,,141,60,12,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,13,Zuiveraars van gebouwen,A,,,,,,,,,,,,,,,,,,,,,,1,,,,9,,,,1,,,,,,,,,,,,,,,,,,,,11,,,,11,,13,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,,Totaal voor III,A,,,,,,1,,1,,,5,,,18,66,,,57,86,,,875,249,1,,1462,104,9,,637,31,7,,229,10,7,,189,6,6,,80,5,1,,,,,,3547,564,31,,3578,564,,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,,Totaal voor III,B,,,,,,,,,,,,,,,2,,,1,,,,5,2,,,11,1,,,6,,,,,,,,2,,,,1,,,,,,,,26,5,,,26,5,,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,,Totaal voor III,C,,,,,,,,,,,3,,,,33,,,3,34,,,106,75,,,186,15,,,84,3,,,32,,1,,12,,1,,6,1,,,,,,,429,164,2,,431,164,,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,,Totaal voor III,D,,12,,88,,287,,907,,,1039,,2,189,2840,,1,389,852,,1,4771,1675,1,,5557,456,4,,2265,133,2,1,842,26,1,,478,20,1,,255,5,1,,,1,,,14746,8341,10,5,14756,8346,,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,,Totaal voor groep III,,,12,0,88,0,288,0,908,0,0,1047,0,2,207,2941,0,1,450,972,0,1,5757,2001,2,0,7216,576,13,0,2992,167,9,1,1103,36,9,0,681,26,8,0,342,11,2,0,0,1,0,0,18748,9074,43,5,18791,9079,,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,IV,,,"Chemische nijverheid, meststoffen, ontplofbare stoffen, verfstoffen enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,a,,Chemische nijverheid (incl. aphotheken),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,14,Apothekers,A,,,,,,,,,,,,,,,2,,,,1,,,22,8,,,35,8,3,1,31,8,2,,12,,,,7,1,,,7,,1,,,,,,114,28,6,1,120,29,14,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,15,id.,B,,,,,,,,,,,,,,,,,,,4,,,,3,,1,2,1,,,6,,,,3,1,,,1,,,,1,,,,,,,,13,9,,1,13,10,15,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,16,id. (bedienden),C,,,1,,,2,,7,,,13,,4,,34,,29,1,7,,19,36,30,1,22,49,18,,5,17,7,,,9,,,,5,2,,,1,,,,,,,,118,120,1,80,119,200,16,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,17,id.,D,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,17,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,18,Chemisten,A,,,,,,,,,,,,,,,3,,,,4,,,4,4,,,6,1,,,,,,,1,,,,,,,,,,,,,,,,11,12,,,11,12,18,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,19,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,19,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,20,id.,C,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,20,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,21,Directeuren chemische wasscherijen,B,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,21,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,22,"Fabricage van chemicaliën (aether, amoniak, chinine, houtteer, glycerine, soda, enz.)",A,,,,,,,,,,,,,,,,,,,1,,,2,1,,,5,1,,,,,,,1,,,,1,,,,1,,,,,,,,10,3,,,10,3,22,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,23,id.,B,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,1,,,,,,,,,,,,,,,,,,,,3,2,,,3,2,23,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,24,id.,C,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,5,,,,5,,24,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,25,id.,D,,,,1,,,,1,,,2,,,1,9,,1,3,1,,,4,3,,,15,1,,,7,,,,,,,,,,,,,,,,,,,,30,18,,1,30,19,25,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,26,Fabricage van eau de cologne,A,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,2,,1,,3,,26,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,27,id.,C,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,27,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,28,id.,D,,,,,,,,,1,,,,3,,,,,,,,,,,,1,3,,,,1,,1,,,,,,,,,,,,,,,,,,4,,1,5,5,5,28,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,29,Fabricage van haarwater,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,29,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,30,Fabricage van machinepoeder,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,30,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,31,Fabricage van parfumerien,A,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,1,1,31,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,32,id.,D,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,3,,,3,3,3,32,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,33,Fabricage van photographiepreparaten,A,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,33,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,b,,Mest- en dierlijke afvalstoffen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,34,Fabricage van kunstmest,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,34,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,35,id.,D,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,35,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,c,,"Ontplofbare stoffen, lucifers, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,36,Fabricage van buskruit,A,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,36,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,37,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,37,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,,,38,Fabricage van lucifers (incl. zwavelstokken),A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,38,BT ,1889_02_T1,8,9,HET RIJK,29_0373
,IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,1,Fabricage van kruit (patronen),C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,2,Fabricage van vuurmakers,A,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,2,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,3,id.,D,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,4,Fabricage van vuurwerk,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,4,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,5,id.,D,,,,,,,,,,,,,,,3,,,,,,,3,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,5,3,,,5,3,5,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,d,,Verfstoffen enz.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,6,Fabricage van beenzwart,D,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,6,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,7,Fabricage van blauwsel,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,7,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,8,Fabricage van drukinkt,A,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,8,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,9,Fabricage van inkt,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,9,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,10,Fabricage van lak,A,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,10,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,11,id.,D,,,,,,,,,,,,,,,,,,,1,,,1,1,,,3,,,,,,,,1,,,,,,,,,,,,,,,,5,2,,,5,2,11,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,12,Fabricage van loodwit,A,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,1,,1,2,12,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,13,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,2,,13,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,14,id.,D,,,,,,,,,,,,,,,,,,,1,,,5,1,,,10,1,,,8,2,,,,,,,,,,,,,,,,,,,23,5,,,23,5,14,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,15,Fabricage van lijm,A,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,15,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,16,Fabricage van verfstoffen,A,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,3,,16,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,17,id.,C,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,17,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,18,id.,D,,,,,,,,,,,1,,,,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,1,4,18,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,19,Fabricage van zinkwit,D,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,19,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,,Totaal voor IV,A,,,,,,,,,,,1,,,,9,,,,6,,,28,16,,,53,12,4,1,37,8,2,,15,,,,10,1,,,8,,2,,,,,,151,53,8,1,159,54,,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,,Totaal voor IV,B,,,,,,,,,,,1,,,,,,,,4,,,,5,,1,4,1,,,9,,,,3,1,,,1,,,,1,,,,,,,,18,12,,1,18,13,,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,,Totaal voor IV,C,,,1,,,2,,7,,,13,,4,,35,,29,1,7,,19,40,31,1,22,52,18,,5,17,8,,,10,,,,6,2,,,1,,,,,,,,127,123,1,80,128,203,,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,,Totaal voor IV,D,,,,1,,,,1,1,,4,,4,1,18,,2,3,5,,,15,7,,1,34,2,,1,19,2,1,,2,,,,1,,,,,,,,,,,,75,40,1,9,76,49,,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,,Totaal voor groep IV,,,,1,1,,2,,8,1,,19,,8,1,62,,31,4,22,,19,83,59,1,24,143,33,4,7,82,18,3,,30,1,,,18,3,,,10,,2,,,,,,371,228,10,91,381,319,,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,V,,,"Hout-, kurk-, strookbewerking, snij- en draaiwerk van verschillende stoffen, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,a,,Hout ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,20,Doodkistenmakers,A,,,,,,,,,,,,,,,,,,,,,,6,,,,2,,,,1,,1,,,,1,,,,,,,,,,,,,,9,,2,,11,,20,BT ,1889_02_T1,10,11,HET RIJK,29_0374
,,,21,id.,D,,,,,,,,,,,3,,,,3,,,1,,,,4,2,,,2,1,,,,,,,1,,,,,,,,1,,,,,,,,9,9,,,9,9,21,BT ,1889_02_T1,10,11,HET RIJK,29_0374
