"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeente,Nummer der beroepsklasse [NB: Romeinse cijfers],Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"121878",,"131876",,"14---151875  ---1874",,"16---171873  ---1872",,,,"18---221871  ---1867",,,,"23---241866  ---1865",,,,"25---351864  ---1854",,,,"36---501853  ---1839",,,,"51---601838  ---1829",,,,"61---651828  ---1824",,,,"66---701823---1818",,,,"71endaarboven1818envroeger",,,,"Vanonbekendenleeftijd",,,,"TOTAALDERMANNEN",,"TOTAALDERVROUWEN",,"TOTAALDERMANNENENVROUWEN",,Regelnummer [NB: Arabische cijfers],,Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,IV,,,"Chemische nijverheid, meststoffen, ontplofbare stoffen, verfstoffen enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,A.,,Chemische nijverheid (incl. apotheken).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,4,Apothekers,A,,,,,,,,,,,,,,,,,,,,,,,1,,,9,1,,,4,1,,,,,,,1,,,,1,,1,,,,,,15,3,1,,16,3,4,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,5,id. (bedienden),C,,,,,,,,,,,1,,,,4,,2,,1,,,3,12,,,4,,,2,2,,,,,,,,,,,,,,,,,,,,9,18,,4,9,22,5,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,6,id. ,D,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,6,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,7,Chemisten,A,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,7,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,8,Fabricage van parfumeriën,A,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,8,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,D.,,Verfstoffen enz.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,9,Fabricage van kleurstoffen,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,9,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,10,Fabricag evan lak,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,10,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,11,Fabricage van verfstoffen,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,11,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,,Totaal voor IV,A,,,,,,,,,,,1,,,,1,,,1,,,,1,1,,,9,1,1,,4,1,,,,,,,1,,,,1,,1,,,,,,17,5,2,,19,5,,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,,Totaal voor IV,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,,Totaal voor IV,C,,,,,,,,,,,1,,,,4,,2,,1,,,3,12,,1,4,,,2,2,,,,,,,,,,,,,,,,,,,,9,18,,5,9,23,,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,,Totaal voor IV,D,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,,Totaal voor groep IV,,,,,,,,,1,,,2,,,,5,,2,1,1,,,4,13,,1,14,1,1,2,6,1,,,,,,,1,,,,1,,1,,,,,,27,24,2,5,29,29,,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,V,,,"Hout-, kurk-, stroobewerking ; snij- en draaiwerk van verschillende stoffen, enz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,A.,,Hout.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,12,Doodkistenmakers,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,12,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,13,Fabricage van houtwaren,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,2,,13,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,14,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,14,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,15,id.,D,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,15,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,16,Fabricage van jalouziën,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,16,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,17,Fabricage van lijsten,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,2,,17,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,18,id.,D,,,,,,,,,,,,,,,2,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,1,4,18,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,19,Fabricage van meubels (meubelmakers).,A,,,,,,,,,,,,,,,,,,,,,,9,3,,,22,1,,,11,,,,4,,,,,,,,1,,,,,,,,47,4,,,47,4,19,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,20,id.,D,,,,6,,4,,17,,,15,,,2,34,,,3,11,,,24,13,,,26,1,,,6,,,,4,,,,3,,,,2,,,,,,,,70,101,,,70,101,20,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,21,Fabricage van stoelen,A,,,,,,,,,,,,,,,,,,,,,,3,,,,7,,1,,5,,,,,,,,1,,,,,,,,,,,,16,,1,,17,,21,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,22,id.,D,,,,3,,1,,4,,,3,,,,5,,,,1,,,4,3,,,4,,,,1,,,,,,,,,,,,,,,,,,,,9,20,,,9,20,22,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,23,Houtzagers,A,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,3,,,,,,,,,,,,,,,,,,,,7,1,,,7,1,23,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,24,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,24,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,25,id.,D,,,,1,,1,,,,,1,,,,3,,,,1,,,8,2,,,18,,,,11,,,,,,,,,,,,,,,,,,,,37,9,,,37,9,25,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,26,Klompenmakers,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,26,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,27,id.,D,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,27,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,28,Kuipers,A,,,,,,,,,,,,,,,,,,,,,,2,,,,13,1,,,4,1,,,1,,,,,,,,3,,,,,,,,23,2,,,23,2,28,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,29,id.,D,,,,,,,,2,,,2,,,,2,,,,1,,,2,3,,,8,1,,,1,1,,,,,,,,,,,,,,,,,,,11,12,,,11,12,29,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,30,Verlakkers,A,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,7,,,,7,,30,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,31,id.,D,,,,,,1,,3,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,10,31,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,32,Witwerkers,D,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,3,,32,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30_0006,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,V,B.,,"Kurk-, stroo-, borstelwerk, vlechtwerk van verschillende stoffen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,1,Bezem- en heiboendermakers,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,2,id.,D,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,2,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,3,Fabricage van borstels,A,,,,,,,,,,,,,,,1,,,1,,,,2,,,,4,,,,7,,,,3,,,,,,,,,,,,,,,,17,1,,,17,1,3,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,4,id.,D,,,,1,,2,,2,,,3,,,1,12,,,,3,,,4,3,,,6,,,,2,,,,,,,,,,,,1,,,,,,,,14,26,,,14,26,4,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,5,Fabricage van manden en mandenwerk,A,,,,,,,,,,,,,,,,,,,,,,7,1,,,1,,,,,1,,,2,,,,1,,,,1,1,,,,,,,12,3,,,12,3,5,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,6,id.,D,,,,1,,,,1,,,1,,,,7,,,1,1,,,6,3,,,5,,,,4,,,,,,,,,,,,,,,,,,,,16,14,,,16,14,6,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,7,Fabricage van raamhorren,A,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,7,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,8,Fabricage van rieten meubelen,A,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,8,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,9,id.,D,,,,1,,1,,3,,,2,,,,6,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,,,2,13,9,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,10,Fabricage van stoowaren,A,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,10,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,11,id.,C,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,11,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,12,id.,D,,,1,3,7,3,2,8,9,,3,,5,,2,,9,,1,,,1,,,1,4,,,,2,,1,,,,,,,,,,,,,,,,,,7,20,1,34,8,54,12,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,13,Stoelenmatters,D,,,,,,2,,4,,,3,,,1,3,,,,2,,,3,3,,,7,,,,5,,,,,,1,,1,,,,4,,,,,,,,21,17,1,,22,17,13,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,14,Zevenmakers,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,14,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,C.,,Snij- en draaiwerk van verschillende stoffen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,15,Billardmakers,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,15,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,16,id.,D,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,16,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,17,"Draaiers (hout-, been-, ivoor-, enz.)",A,,,,,,,,,,,,,,,,,,,,,,2,,,,3,2,,,1,1,,,1,,,,2,,,,,,,,,,,,9,3,,,9,3,17,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,18,id.,D,,,,1,,1,,1,,,4,,,,,,,,,,,2,2,,,2,,,,1,1,,,1,,,,,,,,,,,,,,,,6,10,,,6,10,18,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,19,Fabricage van kunsttanden,B,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,19,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,,Totaal voor V,A,,,,,,,,,,,,,,1,1,,,1,,,,30,5,,,60,5,1,,36,3,1,,13,,,,4,,,,7,1,,,,,,,152,15,2,,154,15,,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,,Totaal voor V,B,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,,Totaal voor V,C,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,1,,,,1,,,,,,,,,,,,,,,,5,,,,5,,,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,,Totaal voor V,D,,,1,17,7,16,2,45,9,,42,,5,4,80,,9,4,22,,,57,34,,1,83,3,,,34,2,1,,5,,1,,5,,,,7,,,,,,,,199,261,2,34,201,295,,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,,Totaal voor groep V,,,,1,17,7,16,2,45,9,,42,,5,5,82,,9,6,22,,,87,39,,1,145,8,1,,71,5,2,,19,,1,,9,,,,14,1,,,,,,,356,277,4,34,360,311,,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,VI,,,Kleeding en Reiniging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,A.,,"Kleeding, bedden, haarwerk.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,20,Costumiers (makers van costumen),A,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,20,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,21,Coupeurs en coupeuses,C,,,,,,,,,,,,,,,,,,,,,2,1,1,,2,2,,,,,,1,,,,,,,,,,,,,,,,,,3,1,1,4,4,5,21,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,22,Fabricage van bedden en matrassen,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,22,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,23,id.,D,,,,,,,,,,,,,,,3,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,2,3,23,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,24,Fabricage van hoeden en petten,A,,,,,,,,,,,,,,,2,,,,,,,2,1,,,2,,,,,,,,1,,,,1,,,,1,,,,,,,,7,3,,,7,3,24,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,25,id.,D,,,,,,,,,2,,,,,,,,3,,,,1,,,,1,,,1,1,,,1,,1,,,,,,,,,,,,,,,,1,,2,8,3,8,25,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,26,Fabricage van parapluien,A,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,,26,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,27,id.,D,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,27,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,28,Hoedenmakers,A,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,4,,,,4,,28,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,29,id.,D,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,29,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,30,Kleermakers,A,,,,,,,,,,,,,,1,1,,,5,1,,,43,14,,1,63,5,1,,40,2,,,8,1,,,15,1,,,8,,,,,,,,183,25,1,1,184,26,30,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,31,id.,B,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,31,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,32,id.,C,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,32,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,33,id.,D,,1,,10,,27,,52,,,45,,,3,73,,,1,12,,,29,26,,,24,6,,,7,3,,,1,,,,,,,,,1,,,,,,,65,256,,,65,256,33,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,34,Modisten,A,,,,,,,,,,,,,,,,1,25,,,,9,,,8,29,,,12,18,,,4,10,,,2,,,,,,,,,,,,,,,,27,91,27,91,34,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,35,id.,B,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,35,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,36,id.,D,,,,,1,,4,,12,,,,14,,,,23,,,,4,,,,9,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,67,1,67,36,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,37,Naaisters,A,,,,,,,,,,,,,,,,,36,,,2,17,,,13,48,,,26,36,,,18,18,,,3,2,,,3,2,,,3,,,,,,,,68,159,68,159,37,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,38,id.,D,,,,,2,,10,,15,,,,22,,,,37,,,,11,,,3,37,,,8,18,,,11,9,,,6,1,,,3,,,,4,,,,,,,,35,162,35,162,38,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,B.,,"Reiniging, bleekerij, ververij.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,39,Bad- en zweminrichtingen,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,39,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,40,Badhouders,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,40,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,41,id.,D,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,41,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,42,Barbiers,A,,,,,,,,,,,,,,1,10,,,,3,,,12,6,,,13,,,,4,,,,1,,,,2,,,,1,,,,,,,,34,19,,,34,19,42,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,43,id.,D,,,,,,,,8,,,5,,,,7,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,22,,,,22,43,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,8,9,HET RIJK,30_0006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30_0007,BT,1889_03_T1,10,11,HET RIJK,30_0007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,10,11,HET RIJK,30_0007
,VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,10,11,HET RIJK,30_0007
,,,1,Bleekers,A,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,1,,,3,,1,1,,,,,,,,,1,,,,,,,,6,3,1,1,7,4,1,,BT,1889_03_T1,10,11,HET RIJK,30_0007
,,,2,id.,D,,,,,,,,,,,1,,,,2,,4,,,,1,3,2,,1,1,,,2,,,,,,,,,,,,,,,,,,,,,4,5,,8,4,13,2,,BT,1889_03_T1,10,11,HET RIJK,30_0007
,,,3,Hoedenwasschers,A,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,3,,BT,1889_03_T1,10,11,HET RIJK,30_0007
,,,4,id.,D,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,,BT,1889_03_T1,10,11,HET RIJK,30_0007
,,,5,Kappers,A,,,,,,,,,,,,,,,,,,,1,,,3,2,,,1,1,,,2,,,,,,,,,,,,,,,,,,,,6,4,,,6,4,5,,BT,1889_03_T1,10,11,HET RIJK,30_0007
,,,6,id.,D,,,,,,,,1,,,2,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,7,6,,BT,1889_03_T1,10,11,HET RIJK,30_0007
,,,7,Mangellieden,A,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,4,,4,,7,,BT,1889_03_T1,10,11,HET RIJK,30_0007
,,,8,Mutsenwasschers,A,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,2,1,2,1,8,,BT,1889_03_T1,10,11,HET RIJK,30_0007
,,,9,Stoffenververs,A,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,5,,,,5,,9,,BT,1889_03_T1,10,11,HET RIJK,30_0007
,,,10,Strijksters,A,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,2,,10,,BT,1889_03_T1,10,11,HET RIJK,30_0007
,,,11,id.,D,,,,,,,,,,,,,3,,,,5,,,,4,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,15,2,15,11,,BT,1889_03_T1,10,11,HET RIJK,30_0007
,,,12,Waschlieden,A,,,,,,,,,,,,,,,,,1,,,,,,,1,3,,,13,3,,,10,3,,,1,,,,,,,,1,,,,,,,,26,10,26,10,12,,BT,1889_03_T1,10,11,HET RIJK,30_0007
,,,13,id.,D,,,,,,,,,,,,,,,,,10,,,,5,,,2,9,,,13,7,,,14,1,,,1,,,,5,,,,1,,,,,,,,36,32,36,32,13,,BT,1889_03_T1,10,11,HET RIJK,30_0007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,10,11,HET RIJK,30_0007
,,,,Totaal voor VI,A,,,,,,,,,,,,,,2,13,1,62,5,5,2,26,67,25,24,86,88,7,53,57,52,2,34,32,10,1,8,2,19,1,3,2,11,,6,,,,,,254,54,131,267,385,321,,,BT,1889_03_T1,10,11,HET RIJK,30_0007
,,,,Totaal voor VI,B,,,,,,,,,,,,,,,1,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,1,3,,,BT,1889_03_T1,10,11,HET RIJK,30_0007
,,,,Totaal voor VI,C,,,,,,,,,,,,,,,,,,1,,,2,2,1,,2,3,,,,,,1,,,,,,,,,,,,,,,,,,6,1,1,4,7,5,,,BT,1889_03_T1,10,11,HET RIJK,30_0007
,,,,Totaal voor VI,D,,1,,10,3,27,14,62,29,,53,,39,3,89,,83,1,13,,26,33,30,5,60,26,8,24,28,7,3,26,10,2,,7,1,,,8,,,1,6,,,,,,72,297,76,293,148,590,,,BT,1889_03_T1,10,11,HET RIJK,30_0007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,10,11,HET RIJK,30_0007
