"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nummer der beroepsklasse [NB: Romeinse cijfers],Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"121877",,"131876",,"14---151875  ---1874",,"16---171873  ---1872",,,,"18---221871  ---1867",,,,"23---241866  ---1865",,,,"25---351864  ---1854",,,,"36---501853  ---1839",,,,"51---601838  ---1829",,,,"61---651828  ---1824",,,,"66---701823---1818",,,,"71endaarboven1818envroeger",,,,"Vanonbekendenleeftijd",,,,"TOTAALDERMANNEN",,"TOTAALDERVROUWEN",,"TOTAALDERMANNENENVROUWEN",,Regelnummer [NB: Arabische cijfers],Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,10,Fundeeringmakers,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,10,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,11,Glazenmakers,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,1,,2,,11,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,12,id.,D,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,12,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,13,Loodgieters,A,,,,,,,,,,,,,,,1,,,2,1,,,27,5,,,36,3,,,14,,1,,8,,,,4,,1,,4,,,,,,,,95,10,2,,97,10,13,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,14,id.,B,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,14,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,15,id.,C,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,15,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,16,id.,D,,,,1,,9,,16,,,26,,,3,50,,,4,15,,,37,23,,,19,4,,,7,2,,,1,,,,2,,,,,,,,,,,,73,146,,,73,146,16,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,17,Metselaars,A,,,,,,,,,,,4,,,4,27,,,9,18,,,249,58,1,,459,29,1,,251,10,2,,90,5,,,71,4,1,,55,2,,,,,,,1188,157,5,,1193,157,17,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,18,id.,B,,,,,,,,,,,,,,,2,,,,2,,,5,7,,,4,,,,,,,,,,,,,,,,,,,,,,,,9,11,,,9,11,18,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,19,id.,D,,,,4,,18,,70,,,122,,,23,418,,,48,171,,,664,339,,,689,74,,,306,15,,,86,4,,,45,3,,,26,,,,,,,,1887,1238,,,1887,1238,19,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,20,Molenmakers,A,,,,,,,,,,,,,,,,,,1,1,,,14,4,,,33,2,,,22,,,,11,,,,5,1,,,,,,,,,,,86,8,,,86,8,20,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,21,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,3,,21,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,22,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,22,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,23,id.,D,,,,,,,,1,,,4,,,,9,,,1,3,,,9,13,,,13,1,,,3,,,,1,,,,1,1,,,1,,,,,,,,29,32,,,29,32,23,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,24,Opperlieden,D,,,,,,1,,10,,,28,,,4,58,,,10,16,,,104,51,,,159,23,,,100,5,,,36,1,,,13,3,,,4,,,,,,,,430,196,,,430,196,24,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,25,Pompmakers,A,,,,,,,,,,,,,,,,,,,,,,1,1,,,3,1,,,2,,,,2,,,,1,,,,2,,,,,,,,11,2,,,11,2,25,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,26,id.,C,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,26,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,27,id.,D,,,,,,1,,2,,,,,,,3,,,,1,,,,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,,2,10,,,2,10,27,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,28,Steenkloppers (bikkers),D,,,,,,,,,,,,,,,2,,,1,,,,2,,,,3,1,,,2,,,,1,1,,,1,,,,,,,,,,,,10,4,,,10,4,28,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,29,Timmerliden,A,,,,,,,,,,,8,,,8,73,,,27,59,,,888,283,3,,1538,133,5,,837,53,14,,313,22,5,,283,18,5,,208,9,10,,,,,,4102,658,42,,4144,658,29,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,30,id.,B,,,,,,,,,,,1,,,,7,,,,2,,,8,19,,,6,9,,,,,,,1,,,,,,,,,,,,,,,,15,38,,,15,38,30,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,31,id.,C,,,,,,,,,,,,,,,3,,,,,,,8,4,,,12,1,,,2,,,,1,,,,,,,,,,,,,,,,23,8,,,23,8,31,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,32,id.,D,,,,59,,135,,461,,,592,,,50,1588,,,126,573,,,1520,972,,,1504,204,,,569,55,,,184,10,,,147,11,,,74,4,,,,,,,4174,4664,,,4174,4664,32,BT,1889_02_T3,128,129,HET RIJK,29_0433
,C.,,"Afwerken van huizen, enz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,33,Behangers,A,,,,,,,,1,,,,,,2,6,,,2,,,,39,10,,,55,1,,,21,2,,,11,1,1,,6,,,,3,1,,,,,,,139,22,1,,140,22,33,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,34,id.,B,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,2,1,,,,,,,1,,,,,,,,,,,,,,,,4,4,,,4,4,34,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,35,id.,D,,,,5,,12,,29,,,41,,,2,84,,,6,16,,,35,35,,,33,10,,,14,1,,,3,,,,2,,,,1,,,,,,,,96,233,,,96,233,35,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,36,Decoratieschilders,A,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,7,,,,7,,36,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,37,id.,D,,,,,,1,,5,,,4,,,,18,,,1,7,,,26,8,,,21,4,,,9,2,,,3,,,,5,,,,,,,,,,,,65,49,,,65,49,37,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,38,Huisschilders,A,,,,,,1,,1,,,3,,,6,56,,,22,41,,,429,140,1,,614,44,10,1,299,16,16,,135,9,5,,92,6,5,,56,1,4,1,,,,,1653,318,41,2,1694,320,38,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,39,id.,B,,,,,,,,,,,,,,,3,,,,1,,,1,8,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,12,,,3,12,39,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,40,id.,C,,,,,,,,,,,,,,,1,,,,1,,,1,7,,,2,1,,,2,,,,1,,,,,,,,,,,,,,,,6,10,,,6,10,40,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,41,id.,D,,,,16,,79,,230,,,336,,,14,823,,,50,202,,,410,375,,,311,64,,,158,25,,,60,7,,,28,3,,,17,2,,,,,,,1048,2162,,,1048,2162,41,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,42,stukadoors,A,,,,,,,,,,,1,,,1,5,,,3,3,,,44,7,,,80,3,,,31,1,,,8,,,,3,,,,4,,,,,,,,174,20,,,174,20,42,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,43,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,43,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,44,id.,D,,,,3,,2,,11,,,17,,,5,57,,,6,16,,,81,39,,,70,11,,,26,7,,,9,,,,1,,,,5,,,,,,,,203,163,,,203,163,44,BT,1889_02_T3,128,129,HET RIJK,29_0433
,D.,,Openbare werken.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,45,Aannemers,A,,,,,,,,,,,,,,,2,,,1,2,,,51,18,,,107,8,1,2,51,2,1,,15,1,,,6,,,,6,2,,,,,,,237,35,2,2,239,37,45,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,46,id.,B,,,,,,,,,,,,,,,,,,,1,,,2,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,4,2,46,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,47,Aardwekkers,D,,1,,,,1,,14,,,45,,,6,117,,,23,48,,,219,80,,,360,39,,,167,13,,,73,4,,,39,2,,,25,1,,,,,,,912,365,,,912,365,47,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,48,Duikers,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,48,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,49,id.,D,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,49,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,50,Dijkwerkers,C,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,5,,,,5,,50,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,51,id.,D,,,,,,,,,,,3,,,,2,,,1,1,,,15,2,,,15,,,,5,,,,2,,,,3,,,,,,,,,,,,41,8,,,41,8,51,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,52,Heibazen,C,,,,,,,,,,,,,,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,6,1,52,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,53,Kanaalwerkers,D,,,,,,,,,,,1,,,,1,,,,,,,,3,,,13,,,,,,,,1,,,,2,,,,3,,,,,,,,19,5,,,19,5,53,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,128,129,HET RIJK,29_0433
III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,1,Opzichters,C,,,,,,,,,,,,,,1,22,,,1,14,,,44,34,,,79,6,,,33,1,,,10,,,,9,2,,,5,,,,,,,,182,79,,,182,79,1,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,2,Polderwerkers,C,,,,,,,,,,,,,,3,3,,,,6,,,14,9,,,18,2,,,10,,,,2,,,,,,,,,,,,,,,,47,20,,,47,20,2,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,3,id.,D,,2,,6,,15,1,101,1,,112,,,24,243,,,51,83,,,438,150,,,481,77,,,216,20,,,84,2,,,36,,,,20,1,,,,1,,,1350,813,,2,1350,815,3,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,4,Steenzetters,D,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,5,Straatmakers,A,,,,,,,,,,,,,,,,,,,,,,3,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,9,,,,9,,5,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,6,id.,D,,,,,,1,,5,,,7,,,,21,,,4,8,,,46,9,,,55,1,,,36,2,,,11,,,,7,,,,10,,,,,,,,169,54,,,169,54,6,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,7,Wegwerkers,D,,,,,,,,,,,1,,,,,,,,2,,,12,3,,,40,2,,,27,3,,,7,1,,,15,1,,,7,,,,,,,,108,13,,,108,13,7,BT,1889_02_T3,130,131,HET RIJK,29_0434
,E.,,"Reiniging van bouwwerken, wegen en straten.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,8,Aschkarlieden,D,,,,,,,,1,,,1,,,,3,,,3,1,,,18,4,,,27,,,,14,1,,,6,,,,2,,,,1,,,,,,,,71,11,,,71,11,8,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,9,Baggerliden,C,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,9,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,10,id.,D,,,,,,,,1,,,,,,1,5,,,,2,,,10,3,,,15,3,,,15,,,,5,1,,,1,1,,,1,,,,,,,,48,16,,,48,16,10,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,11,Baggermolenaars,B,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,11,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,12,Openbare reiniging,B,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,4,,,,1,,,,,,,,,,,,,,,,8,,,,8,,12,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,13,id.,C,,,,,,,,,,,1,,,,1,,,,2,,,9,3,,,10,,,,2,,,,1,,,,2,,,,2,,,,,,,,26,7,,,26,7,13,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,14,id.,D,,,,,,,,1,,,4,,,,10,,,6,4,,,66,8,,,89,5,,,66,,,,17,,,,11,,,,15,,,,,,,,270,32,,,270,32,14,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,15,Schoorsteenvegers,A,,,,,,,,,,,,,,1,1,,,,1,,,8,4,,,24,1,,,13,,,,4,,,,4,,,,3,,,,,,,,57,7,,,57,7,15,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,16,id.,D,,,,,,,,2,,,6,,,,4,,,,4,,,3,2,,,2,1,,,3,1,,,1,,,,,,,,,,,,,,,,9,20,,,9,20,16,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,17,Straatvegers,D,,,,,,,,,,,1,,,1,5,,,1,,,,8,4,,,18,5,,1,14,2,2,,10,1,,,5,2,,,2,,,,,,,,59,20,2,1,61,21,17,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,,Totaal voor III,A,,,,,,1,,2,,,16,,,26,179,,,68,136,,,1847,581,5,,3125,249,17,3,1634,90,35,,633,39,11,,489,31,12,,368,16,16,1,,,,,8190,1340,96,4,8286,1344,,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,,Totaal voor III,B,,,,,,,,,,,3,,,,12,,,1,7,,,20,37,,,22,14,,,4,,,,3,,,,,,,,1,,,,,,,,51,73,,,51,73,,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,,Totaal voor III,C,,,,,,,,,,,1,,,4,31,,,1,23,,,84,60,,,135,10,,,52,1,,,17,,,,13,2,,,7,,,,,,,,313,128,,,313,128,,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,,Totaal voor III,D,,4,,94,,277,1,964,1,,1359,,,135,3563,,,347,1187,,,3760,2155,,,3979,537,,1,1767,154,2,,607,33,,,369,27,,,213,8,,,,1,,,11177,10363,2,3,11179,10366,,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,,Totaal voor groep III,,,4,0,94,0,278,1,966,1,0,1379,0,0,165,3785,0,0,417,1353,0,0,5711,2833,5,0,7261,810,17,4,3457,245,37,0,1260,72,11,0,871,60,12,0,589,24,16,1,0,1,0,0,19731,11904,98,7,19829,11911,,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,130,131,HET RIJK,29_0434
IV,,,"Chemische nijverheid, meststoffen, ontplofbare stoffen, verfstoffen enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,130,131,HET RIJK,29_0434
,A.,,"Chemische nijverheid, (incl. Apotheken).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,18,Apothekers,A,,,,,,,,,,,,,,,,,,1,2,,,13,7,1,2,51,8,2,,58,7,3,,13,1,2,,16,1,,,10,2,,,,,,,162,28,8,2,170,30,18,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,19,id.,B,,,,,,,,,,,,,,,,,2,,1,,1,1,4,,3,3,2,,,2,,,,,,,,2,,,,,,,,,,,,8,7,,6,8,13,19,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,20,id. (bedienden),C,,,,1,,1,,5,,,8,,2,,31,,44,1,12,,7,21,19,1,37,27,13,,3,11,4,,,2,,,,2,2,,,,,,,,,,,64,96,1,93,65,189,20,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,21,id.,D,,,,,,,,1,,,2,,,,3,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,3,6,,,3,6,21,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,22,Chemisten,A,,,,,,,,,,,1,,,,1,,,1,1,,,6,1,,,4,,,,3,,,,,,,,,,,,,,,,,,,,14,4,,,14,4,22,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,23,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,23,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,24,"Fabricage van Chemicaliën (aether, amoniak,  chinine, houtteer, glycerine, soda, enz",A,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,24,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,25,id.,C,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,25,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,26,id,D,,,,,,,,1,,,1,,,,4,,,,1,,,11,2,,,12,,,,5,,,,,,,,1,,,,,,,,,,,,29,9,,,29,9,26,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,27,Fabricage van eau de cologne,B,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,27,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,28,Fabricage van parfumeriën,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,28,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,29,Fabricage van photographiepreparaten,A,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,29,BT,1889_02_T3,130,131,HET RIJK,29_0434
,B.,,Mest en dierlijke afvalstoffen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,30,Fabricage van kunstmest ,A,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,30,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,31,id.,C,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,4,,,,4,,31,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,32,id,D,,,,,,,,2,,,1,,,1,4,,,1,7,,,24,6,,,25,,,,5,,,,3,,,,1,,,,1,,,,,,,,61,20,,,61,20,32,BT,1889_02_T3,130,131,HET RIJK,29_0434
,C.,,"Ontplofbare stoffen, lucifers, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,33,Fabricage van buskruit,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,2,,33,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,34,Fabricage van lucifers (incl. zwavelstokken),A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,2,,34,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,35,id.,C,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,35,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,36,id.,D,,,,4,3,9,4,8,6,,11,,11,,16,,29,,4,3,11,9,3,1,7,7,,,,6,,,,,,,,2,,,,,,,,,,,,24,55,4,71,28,126,36,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,130,131,HET RIJK,29_0434
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,132,133,HET RIJK,29_0435
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,132,133,HET RIJK,29_0435
IV,D.,,Verfstoffen enz.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,132,133,HET RIJK,29_0435
,,1,Fabricage van blauwsel,D,,,,,,,,,,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,1,3,1,BT,1889_02_T3,132,133,HET RIJK,29_0435
,,2,Fabricage van drukinkt,D,,,,,,,,,,,1,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,1,3,2,BT,1889_02_T3,132,133,HET RIJK,29_0435
,,3,Fabricage van indigo,D,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,BT,1889_02_T3,132,133,HET RIJK,29_0435
,,4,Fabricage van inkt,A,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,4,BT,1889_02_T3,132,133,HET RIJK,29_0435
,,5,id.,D,,,,,,1,,,,,,,,,1,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,3,2,,,3,2,5,BT,1889_02_T3,132,133,HET RIJK,29_0435
,,6,Fabricage van kleurstoffen,A,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,6,BT,1889_02_T3,132,133,HET RIJK,29_0435
,,7,id.,D,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,7,BT,1889_02_T3,132,133,HET RIJK,29_0435
,,8,Fabricage van lak,B,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,3,,8,BT,1889_02_T3,132,133,HET RIJK,29_0435
,,9,id.,C,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,9,BT,1889_02_T3,132,133,HET RIJK,29_0435
,,10,id.,D,,,,,,,,1,,,,,,1,,,,,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,7,1,10,BT,1889_02_T3,132,133,HET RIJK,29_0435
,,11,Fabricage van loodwit,D,,,,,,,,,,,,,,,1,,,,,,,2,,,,4,,,,2,,,,,,,,1,,,,,,,,,,,,9,1,,,9,1,11,BT,1889_02_T3,132,133,HET RIJK,29_0435
,,12,Fabricage van lijm,B,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,12,BT,1889_02_T3,132,133,HET RIJK,29_0435
,,13,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,13,BT,1889_02_T3,132,133,HET RIJK,29_0435
,,14,id.,D,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,14,BT,1889_02_T3,132,133,HET RIJK,29_0435
,,15,Fabricage van meekrab,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,15,BT,1889_02_T3,132,133,HET RIJK,29_0435
,,16,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,2,1,,,2,1,16,BT,1889_02_T3,132,133,HET RIJK,29_0435
,,17,id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,17,BT,1889_02_T3,132,133,HET RIJK,29_0435
,,18,Fabricage van verfstoffen,A,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,1,,,,1,,,,,,,,,,,,,,,,7,,,,7,,18,BT,1889_02_T3,132,133,HET RIJK,29_0435
,,19,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,19,BT,1889_02_T3,132,133,HET RIJK,29_0435
,,20,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,2,,,,,,,,,,,,,,,,7,,,,7,,20,BT,1889_02_T3,132,133,HET RIJK,29_0435
,,21,id.,D,,,,,,,,2,,,2,,,1,3,,,,2,,,12,4,,,14,1,,,2,,,,3,,,,3,,,,,,,,,,,,35,14,,,35,14,21,BT,1889_02_T3,132,133,HET RIJK,29_0435
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,132,133,HET RIJK,29_0435
