"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeente,Nummer der beroepsklasse [NB: Romeinse cijfers],Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"121878",,"131876",,"14---151875  ---1874",,"16---171873  ---1872",,,,"18---221871  ---1867",,,,"23---241866  ---1865",,,,"25---351864  ---1854",,,,"36---501853  ---1839",,,,"51---601838  ---1829",,,,"61---651828  ---1824",,,,"66---701823---1818",,,,"71endaarboven1818envroeger",,,,"Vanonbekendenleeftijd",,,,"TOTAALDERMANNEN",,"TOTAALDERVROUWEN",,"TOTAALDERMANNENENVROUWEN",,Regelnummer [NB: Arabische cijfers],Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,,17,id.,B,,,,,,,,,,,,,,,6,,,,2,,,3,8,,,4,,,,,,,,,,,,,,,,,,,,,,,,7,16,,,7,16,17,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,18,id.,C,,,,,,,,,,,,,,1,1,,,,2,,,1,1,,,3,1,,,,,,,,,,,,1,,,1,,,,,,,,6,6,,,6,6,18,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,19,id.,D,,,,8,,26,,150,,,211,,,11,652,,,60,288,,,639,598,,,646,143,,,280,33,,,85,4,,,52,6,,,30,,,,,,,,1803,2119,,,1803,2119,19,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,20,Molenmakers,A,,,,,,,,,,,,,,,,,,,1,,,11,2,,,13,2,1,,10,3,1,,5,,,,2,,,,5,,1,,,,,,46,8,3,,49,8,20,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,21,id.,B,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,21,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,22,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,22,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,23,id.,D,,,,,,1,,2,,,1,,,,8,,,1,4,,,15,8,,,9,2,,,2,1,,,2,,,,1,,,,1,,,,,,,,31,27,,,31,27,23,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,24,Opperlieden,D,,1,,1,,3,,12,,,20,,,2,43,,,4,19,,,56,31,,,77,17,,,54,5,,,13,,,,9,1,,,3,,,,,,,,218,153,,,218,153,24,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,25,Pompmakers,A,,,,,,,,,,,,,,,,,,1,,,,2,,,,2,,,,1,,,,2,,,,1,,,,,,,,,,,,9,,,,9,,25,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,26,id.,D,,,,,,,,1,,,,,,,2,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,6,26,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,27,Steenkloppers (bikkers),D,,1,,,,,,,,,2,,,,2,,,,1,,,2,,,,3,,,,,6,,,1,,,,,,,,,,,,,,,,6,12,,,6,12,27,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,28,Timmerlieden,A,,,,,,,,2,,,15,,,13,134,,,41,99,,,1110,455,,,2009,192,8,32,1134,86,17,,474,32,9,,414,24,9,,361,22,10,,,,1,,5556,1061,54,32,5610,1093,28,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,29,id.,B,,,,,,,,,,,,,,,12,,,1,9,,,10,32,,,16,7,,,6,3,,,5,1,,,2,,,,2,1,,,,,,,42,65,,,42,65,29,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,30,id.,C,,,,,,,,,,,,,,,2,,,,1,,,8,6,,,5,2,,,4,,,,1,,,,1,,,,,,,,,,,,19,11,,,19,11,30,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,31,id.,D,,5,,32,,89,,453,,,697,,,41,1706,,,116,627,,,1206,1234,,,1165,235,,,431,51,,,157,8,,,114,7,,,71,3,,,,,,,3301,5147,,,3301,5147,31,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,C.,,"Afwerken van huizen, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,32,Behangers,A,,,,,,,,,,,1,,,,2,,,1,1,,,14,3,,,17,3,,,11,1,2,,1,,1,,4,,,,2,,,,,,,,50,11,3,,53,11,32,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,33,id.,B,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,33,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,34,id.,D,,,,,,1,,5,,,6,,,,25,,,1,6,,,10,8,,,13,,,,,1,,,1,,,,,,,,,,,,,,,,25,52,,,25,52,34,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,35,Decoratieschilders,A,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,1,3,,,1,3,35,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,36,id.,D,,,,,,,,,,,,,,,3,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,36,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,37,Huisschilders,A,,,,,,,,2,,,8,,,13,57,,,23,41,,,490,136,4,1,734,72,5,,337,38,9,,165,6,9,,121,9,6,,78,6,1,,,,,,1961,375,34,1,1995,376,37,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,38,id.,B,,,,,,,,,,,1,,,,6,,,,2,,,4,6,,,1,3,,,,,,,,,,,,,,,,,,,,,,,5,18,,,5,18,38,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,39,id.,C,,,,,,,,,,,2,,,,7,,,,3,,,7,8,,,5,1,,,2,,,,,1,,,,,,,,,,,,,,,14,22,,,14,22,39,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,40,id.,D,,1,,12,,64,,225,,,350,,,18,840,,,33,241,,,242,378,,,152,90,,,78,14,,,29,7,,,26,1,,,5,2,,,,,,,583,2225,,,583,2225,40,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,41,Stukadoors,A,,,,,,,,,,,2,,,,9,,,1,3,,,28,16,,,37,8,,,15,1,,,4,,,,1,,,,,,,,,,,,86,39,,,86,39,41,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,42,id.,D,,,,,,3,,1,,,12,,,,23,,,2,10,,,17,28,,,17,7,,,9,,,,6,,,,4,1,,,,,,,,,,,55,85,,,55,85,42,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,D.,,Openbare werken.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,43,Aannemers,A,,,,,,,,,,,1,,,,11,,,3,12,,,54,33,,,131,11,1,,66,4,,,25,1,1,,14,3,,,5,,,,,,,,298,76,2,,300,76,43,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,44,id.,B,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,44,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,45,Aardwerkers,D,,2,,4,3,10,,41,,,89,,,14,278,,,35,100,,,435,238,,,132,121,,1,398,37,,,143,8,,,105,5,,,58,2,,,,,,,1320,935,,4,1320,939,45,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,46,Duikers,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,46,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,47,id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,47,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,48,Dijkwerkers,C,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,1,,,,1,,,,1,,,,3,,,,,,,,12,,,,12,,48,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,49,id.,D,,,,,,1,,1,,,10,,,2,57,,,7,19,,,88,42,,,164,16,,,113,6,,,24,1,,,27,2,,,7,3,,,,,,,432,158,,,432,158,49,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,50,Heilbazen,C,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,6,,,,6,,50,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,51,Kanaalwerkers,D,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,51,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,52,Opzichters,C,,,,,,,,1,,,1,,,1,18,,,,11,,,20,32,,,37,11,,,13,2,,,10,1,,,3,,,,7,1,,,,,,,91,78,,,91,78,52,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,53,Polderwerkers,C,,,,,,,,,,,,,,,2,,,,2,,,10,7,,,11,4,,,5,1,,,2,,,,2,,,,,,,,,,,,30,16,,,30,16,53,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,54,id.,D,,,,4,,5,,38,,,81,,,18,471,,,47,245,,,582,507,,,806,176,,,337,32,1,,96,13,,,53,7,,,27,,,,,1,,,1966,1580,1,,1967,1580,54,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,55,Straatmakers,A,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,6,,,,6,,55,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,56,id.,D,,,,,,,,2,,,2,,,,21,,,2,4,,,24,18,,,46,6,,,35,1,,,18,,,,11,,,,9,1,,,,,,,145,55,,,145,55,56,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,57,Strandwerkers,D,,,,,,,,,,,,,,,2,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,3,2,57,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,58,Wegwerkers,D,,,,,,,,,,,1,,,,4,,,6,2,,,25,5,,,47,4,,,26,3,,,12,,,,10,2,,,16,1,,,,,,,142,22,,,142,22,58,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,190,191,HET RIJK,29_0464
,III,E.,,"Reiniging van bouwwerken, wegen en straten.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,1,Aschkarlieden,D,,,,,,,,1,,,2,,,,2,,,,3,,,5,7,,,22,2,,,16,1,,,9,,,,4,,,,1,,,,,,,,57,18,,,57,18,1,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,2,Baggerlieden,C,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,4,2,,,4,2,2,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,3,id.,D,,,,,,1,,3,,,3,,,1,22,,,2,6,1,,39,12,,,67,4,,,32,1,,,16,,,,6,,,,2,,,,,,,,165,52,1,,166,52,3,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,4,Glazenwasschers,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,4,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,5,id.,D,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,5,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,6,Openbare reiniging,B,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,4,,,,4,,6,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,7,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,7,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,8,id.,D,,,,,,1,,1,,,1,,,1,2,,,,2,,,13,2,,,30,1,,,19,1,,,11,1,,,9,,,,3,1,,,,,,,86,13,,,86,13,8,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,9,Schoorsteenvegers,A,,,,,,,,,,,,,,,,,,,2,,,4,1,,,8,2,,,6,,,,,,,,1,,,,3,,,,,,,,22,5,,,22,5,9,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,10,id.,D,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,3,2,,,3,2,10,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,11,Straatvegers,D,,,,,,,,1,,,1,,,,2,,,,,,,3,,,,11,1,,,3,1,,,1,,,,2,,,,1,,,,,,,,21,6,,,21,6,11,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,,Totaal voor III,A,,,,,,,,4,,,34,,,34,276,,,91,210,,,2427,920,7,1,4371,457,21,,2341,181,33,,974,54,22,,782,44,20,1,687,37,15,,1,,1,,11708,2217,119,2,11827,2219,,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,,Totaal voor III,B,,,,,,,,,,,2,,,,25,,,1,13,,,20,49,,,25,11,,,10,3,,,6,1,,,2,,,,2,1,,,,,,,66,105,,,66,105,,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,,Totaal voor III,C,,,,,,,,1,,,3,,,2,30,,,1,20,,,53,60,,,81,22,,,30,3,,,15,2,,,9,1,,,11,1,,,,,,,202,143,,,202,143,,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,,Totaal voor III,D,,11,,63,3,219,,957,,,1535,,,110,4312,,,324,1626,1,,3488,3224,,,4081,842,,1,1859,197,1,,638,43,,,440,33,,,239,13,,,,1,,,11179,13076,2,4,11181,13080,,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,,Totaal voor groep III,,,11,0,63,3,219,0,962,0,0,1574,0,0,146,4643,0,0,417,1869,1,0,5988,4253,7,1,8558,1332,21,1,4240,384,34,0,1633,100,22,0,1233,78,20,1,939,52,15,0,1,1,1,0,23155,15541,121,6,23276,15547,,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,192,193,HET RIJK,29_0465
,IV,,,"Chemische nijverheid, meststoffen, ontplofbare stoffen, verfstoffen, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,A.,,Chemische nijverheid (inc. Apotheken).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,12,Apothekers,A,,,,,,,,,,,,,,,,,,,,,,5,3,,2,21,3,1,,20,1,,,5,,1,,5,1,,,5,,,,,,,,61,8,2,2,63,10,12,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,13,id.,B,,,,,,,,,,,,,,,,,4,,,,,2,1,,1,1,2,,,,1,,,,1,,,,,,,,1,,,,,,,3,6,,5,3,11,13,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,14,id.,C,,,,,,,,3,,,3,,,,16,,10,,9,,9,5,9,,9,12,9,,2,4,1,,,,,,,1,1,,,,,,,,,,,22,51,,30,22,81,14,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,15,Chemisten,A,,,,,,,,,,,,,,,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,4,15,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,16,id.,C,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,16,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,17,"Fabricage van chemicaliën (aether, ammoniak, chinine, houtteer, glycerine, soda, enz.)",A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,1,1,17,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,18,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,2,,18,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,19,id.,D,,,,,,,,2,,,,,,,2,,,2,,,,4,2,,,12,2,,,8,,,,,,,,1,,,,,,,,,,,,27,8,,,27,8,19,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,20,Fabricage van eau de cologne,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,20,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,21,id.,D,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,21,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,22,Fabricage van ouwels,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,2,,2,22,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,23,Fabricage van parfumerieën,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,23,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,24,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,24,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,25,id.,D,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,25,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,B.,,Mest- en dierlijke afvalstoffen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,26,Fabricage van kunstmest,A,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,26,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,27,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,27,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,28,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,3,,,,3,,28,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,29,id.,D,,,,,,,,1,,,3,,,,4,,,3,1,,,11,2,,,13,2,,,4,1,,,3,,,,,,,,,,,,,,,,34,14,,,34,14,29,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,C.,,"Ontplofbare stoffen, lucifers, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,30,Fabricage van buskruit,B,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,30,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,31,id.,D,,,,,,,,,,,1,,,,9,,,2,2,,,23,2,,,18,1,,,11,,,,2,,,,,,,,,,,,,,,,56,15,,,56,15,31,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,32,Fabricage van lucifers (incl. zwavelstokken),A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,32,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,33,id.,B,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,33,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,34,id.,C,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,2,,,,,,,,,,,,,,,,,,,,4,1,,,4,1,34,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,35,id.,D,,1,,8,5,10,7,14,6,,32,,10,2,26,1,41,2,3,1,9,19,6,4,10,24,3,1,,6,1,,,,,,,1,,,,1,,,,,,,,55,104,7,88,62,192,35,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,36,Fabricage van kruit (patronen),D,,,,,,,,,,,1,,,1,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,2,,,3,2,36,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,37,Fabricage van vuurmakers,A,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,2,,37,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,38,id.,D,,,,,,,,,,,1,,,,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,1,4,38,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,39,Fabricage van vuurwerk,D,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,4,1,,,4,1,39,BT,1889_02_T4,192,193,HET RIJK,29_0465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,192,193,HET RIJK,29_0465
,IV,D.,,"Verfstoffen, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,194,195,HET RIJK,29_0466
,,,1,Fabricage van beenzwart,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,2,,1,BT,1889_02_T4,194,195,HET RIJK,29_0466
,,,2,id.,D,,,,,,,,1,,,,,,,,,,,,,,,2,,,2,1,,,3,,,,,,,,,,,,,,,,,,,,5,4,,,5,4,2,BT,1889_02_T4,194,195,HET RIJK,29_0466
,,,3,Fabricage van blauwsel,B,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,3,BT,1889_02_T4,194,195,HET RIJK,29_0466
,,,4,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,4,BT,1889_02_T4,194,195,HET RIJK,29_0466
,,,5,id.,D,,,,,,,,2,,,1,,,,2,,,,,,,3,1,,,3,1,,,6,,,,2,,,,1,,,,,,,,,,,,15,7,,,15,7,5,BT,1889_02_T4,194,195,HET RIJK,29_0466
,,,6,Fabricage van indigo,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,6,BT,1889_02_T4,194,195,HET RIJK,29_0466
,,,7,id.,D,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,7,BT,1889_02_T4,194,195,HET RIJK,29_0466
,,,8,Fabricage van inkt,A,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,8,BT,1889_02_T4,194,195,HET RIJK,29_0466
,,,9,Fabricage van lak,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,9,BT,1889_02_T4,194,195,HET RIJK,29_0466
,,,10,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,10,BT,1889_02_T4,194,195,HET RIJK,29_0466
,,,11,id.,D,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,1,,,2,1,11,BT,1889_02_T4,194,195,HET RIJK,29_0466
,,,12,Fabricage van loodwit,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,2,,12,BT,1889_02_T4,194,195,HET RIJK,29_0466
,,,13,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,13,BT,1889_02_T4,194,195,HET RIJK,29_0466
,,,14,id.,D,,,,,,1,,1,,,2,,,,2,,,,1,,,2,2,,,1,,,,4,,,,1,,,,,,,,1,,,,,,,,9,9,,,9,9,14,BT,1889_02_T4,194,195,HET RIJK,29_0466
,,,15,Fabricage van lijm,A,,,,,,,,,,,,,,,,,,,,,,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,15,BT,1889_02_T4,194,195,HET RIJK,29_0466
,,,16,id.,B,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,16,BT,1889_02_T4,194,195,HET RIJK,29_0466
,,,17,id.,D,,,,1,,,,3,,,3,,,3,2,,,,1,,,7,7,,,17,1,,,3,,,,,,,,1,,,,,,,,,,,,31,18,,,31,18,17,BT,1889_02_T4,194,195,HET RIJK,29_0466
,,,18,Fabricage van meekrap,B,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,5,,,,1,,,,2,,,,1,,,,,,,,15,,,,15,,18,BT,1889_02_T4,194,195,HET RIJK,29_0466
,,,19,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,19,BT,1889_02_T4,194,195,HET RIJK,29_0466
,,,20,id.,D,,,,,,1,,,,,,,,,1,,,,1,,,4,2,,,2,,,,4,,,,,,,,1,,,,,,,,,,,,11,5,,,11,5,20,BT,1889_02_T4,194,195,HET RIJK,29_0466
,,,21,Fabricage van verfstoffen,A,,,,,,,,,,,,,,,,,,,,,,2,1,,,5,,,,2,1,,,,,,,,,,,,,,,,,,,9,2,,,9,2,21,BT,1889_02_T4,194,195,HET RIJK,29_0466
,,,22,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,22,BT,1889_02_T4,194,195,HET RIJK,29_0466
,,,23,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,23,BT,1889_02_T4,194,195,HET RIJK,29_0466
,,,24,id.,D,,,,,,,,,,,3,,,,3,,,1,1,,,10,3,,,10,2,,,5,,,,2,,,,,,,,,,,,,,,,28,12,,,28,12,24,BT,1889_02_T4,194,195,HET RIJK,29_0466
